original_index,vdc1,vdc2,idc1,idc2,irr,pvt,f_nv
1230849,267.599,274.09,4.3426,4.2116,504.401,22.3151,0
1230850,265.731,272.177,4.3888,4.2464,504.513,22.3151,0
1230851,265.437,270.185,4.3897,4.2792,504.404,22.332,0
1230852,263.555,269.894,4.4235,4.2912,504.5,22.332,0
1230853,261.82,269.834,4.4489,4.2938,504.519,22.3505,0
1230854,264.515,271.76,4.402,4.258,504.633,22.378,0
1230855,265.655,273.508,4.3872,4.2264,504.652,22.378,0
1230856,266.004,271.875,4.3763,4.2544,504.624,22.4012,0
1230857,266.289,269.85,4.3741,4.289,504.881,22.4251,0
1230858,266.013,267.829,4.3855,4.3227,504.845,22.4251,0
1230859,267.924,269.863,4.3418,4.2924,504.663,22.44,0
1230860,268.206,271.852,4.3378,4.2631,504.647,22.44,0
1230861,268.515,272.157,4.3303,4.2555,504.994,22.4597,0
1230862,268.803,270.177,4.3219,4.2928,505.189,22.4789,0
1230863,268.418,268.255,4.332,4.3187,505.805,22.4789,0
1230864,265.754,271.104,4.3921,4.2767,505.891,22.4989,0
1230865,263.261,270.701,4.4394,4.2871,506.029,22.5185,0
1230866,264.715,268.177,4.4159,4.3264,506.111,22.5185,0
1230867,266.583,270.161,4.3848,4.3019,506.485,22.5351,0
1230868,266.887,272.135,4.3805,4.2673,506.625,22.5351,0
1230869,265.052,270.221,4.4173,4.2996,506.655,22.55,0
1230870,263.13,268.162,4.4489,4.3269,506.79,22.5673,0
1230871,265.036,267.85,4.4189,4.3347,506.825,22.5673,0
1230872,266.918,267.482,4.3793,4.3442,507.078,22.5912,0
1230873,267.207,269.536,4.374,4.3107,507.109,22.5912,0
1230874,267.575,270.862,4.3651,4.2828,506.861,22.6118,0
1230875,267.582,269.327,4.3622,4.3101,506.805,22.6337,0
1230876,267.191,268.892,4.3773,4.3209,507.037,22.6337,0
1230877,266.923,266.856,4.3857,4.3496,507.178,22.6556,0
1230878,266.322,268.899,4.3967,4.3181,507.0,22.6808,0
1230879,266.03,270.936,4.3985,4.2863,507.175,22.6808,0
1230880,265.749,268.901,4.3995,4.3198,506.906,22.7022,0
1230881,267.653,266.841,4.359,4.3505,506.685,22.7022,0
1230882,265.72,268.914,4.4015,4.3255,506.69,22.7165,0
1230883,263.834,270.998,4.4435,4.289,506.821,22.7373,0
1230884,262.444,268.883,4.4673,4.3242,506.883,22.7373,0
1230885,265.129,270.016,4.4112,4.3066,506.982,22.7613,0
1230886,266.036,270.969,4.3983,4.2876,506.945,22.7741,0
1230887,266.325,271.248,4.3934,4.2846,506.983,22.7741,0
1230888,268.211,271.546,4.3488,4.2827,507.264,22.7919,0
1230889,266.311,273.486,4.3919,4.2465,507.165,22.7919,0
1230890,264.454,271.588,4.4297,4.2775,507.459,22.8086,0
1230891,262.52,269.58,4.4596,4.3153,507.462,22.816,0
1230892,264.448,267.546,4.4303,4.3492,507.517,22.816,0
1230893,266.312,269.531,4.393,4.3178,507.669,22.8345,0
1230894,263.973,271.676,4.447,4.2831,507.732,22.8526,0
1230895,263.7,272.095,4.4487,4.2743,507.889,22.8526,0
1230896,266.225,270.252,4.4059,4.3035,507.881,22.8659,0
1230897,268.218,268.135,4.3554,4.3383,508.021,22.8659,0
1230898,266.302,270.14,4.4021,4.3076,508.213,22.8766,0
1230899,264.429,272.188,4.4401,4.2754,508.349,22.8932,0
1230900,262.525,270.219,4.4749,4.311,508.242,22.8932,0
1230901,264.448,268.185,4.4424,4.3444,508.486,22.9094,0
1230902,262.533,270.252,4.479,4.3064,508.402,22.9094,0
1230903,260.514,272.251,4.5053,4.2777,508.51,22.9281,0
1230904,260.14,269.9,4.5166,4.3209,508.338,22.9453,0
1230905,261.041,268.016,4.5004,4.3486,508.567,22.9453,0
1230906,263.65,269.715,4.4644,4.325,508.771,22.9581,0
1230907,265.73,271.871,4.4224,4.2886,508.969,22.9685,0
1230908,263.875,272.219,4.4682,4.2832,509.087,22.9685,0
1230909,261.898,272.519,4.5004,4.2765,509.122,22.9796,0
1230910,263.849,272.81,4.4643,4.2719,509.305,22.9796,0
1230911,265.718,272.477,4.4295,4.2798,509.178,22.9919,0
1230912,263.864,272.232,4.4652,4.2856,509.249,23.0066,0
1230913,263.538,271.902,4.4775,4.2927,509.456,23.0066,0
1230914,265.681,271.24,4.4332,4.3049,509.432,23.0213,0
1230915,266.453,270.797,4.4134,4.3122,509.48,23.0341,0
1230916,263.805,268.912,4.4661,4.3426,509.448,23.0341,0
1230917,261.588,268.318,4.5082,4.3515,509.458,23.0471,0
1230918,263.57,270.347,4.4795,4.3236,509.419,23.0471,0
1230919,265.449,270.647,4.4372,4.32,509.285,23.0596,0
1230920,263.574,270.995,4.4668,4.315,509.404,23.0702,0
1230921,261.592,271.311,4.5023,4.3066,509.647,23.0702,0
1230922,263.545,270.994,4.4723,4.3139,509.671,23.0897,0
1230923,265.428,270.668,4.4395,4.3235,509.831,23.103,0
1230924,267.174,268.421,4.4047,4.3657,510.016,23.103,0
1230925,264.656,266.443,4.4592,4.3893,510.431,23.1087,0
1230926,261.948,267.921,4.512,4.3756,510.497,23.1087,0
1230927,263.575,270.363,4.4843,4.3346,510.754,23.1251,0
1230928,265.444,270.628,4.4482,4.335,510.85,23.1305,0
1230929,265.766,268.613,4.4431,4.369,511.031,23.1305,0
1230930,266.071,266.578,4.4385,4.399,511.24,23.1301,0
1230931,267.969,268.626,4.3947,4.3656,511.083,23.1301,0
1230932,266.041,270.645,4.4339,4.3351,511.061,23.1341,0
1230933,264.153,272.673,4.4808,4.2955,511.093,23.1387,0
1230934,263.851,270.655,4.4856,4.336,511.117,23.1387,0
1230935,263.449,268.549,4.4865,4.3797,511.265,23.1417,0
1230936,264.721,266.754,4.467,4.4007,511.514,23.1499,0
1230937,265.43,268.283,4.4506,4.3843,511.677,23.1499,0
1230938,265.755,270.312,4.4526,4.3494,511.931,23.1607,0
1230939,266.038,272.302,4.4442,4.3126,511.989,23.1607,0
1230940,267.94,270.319,4.4045,4.3505,512.255,23.1738,0
1230941,266.01,270.008,4.4485,4.3598,512.299,23.185,0
1230942,264.146,269.731,4.486,4.3645,512.232,23.185,0
1230943,263.832,271.724,4.501,4.3257,512.361,23.1934,0
1230944,263.547,273.679,4.5052,4.2851,512.358,23.2016,0
1230945,262.64,271.12,4.5169,4.3369,512.502,23.2016,0
1230946,262.71,269.512,4.519,4.3676,512.566,23.2091,0
1230947,265.18,267.316,4.477,4.4032,512.336,23.2091,0
1230948,265.478,269.385,4.4676,4.3762,512.505,23.2129,0
1230949,267.347,271.352,4.4271,4.34,512.53,23.2132,0
1230950,265.477,271.741,4.4626,4.3352,512.781,23.2132,0
1230951,263.548,272.04,4.5012,4.3239,512.59,23.2208,0
1230952,263.243,272.359,4.5029,4.3248,512.71,23.2241,0
1230953,261.26,272.064,4.5449,4.3277,512.575,23.2241,0
1230954,263.26,273.987,4.5109,4.2883,512.555,23.2307,0
1230955,265.645,271.483,4.4639,4.3354,512.551,23.2307,0
1230956,267.255,271.159,4.4247,4.3357,512.536,23.2373,0
1230957,267.646,273.898,4.423,4.2844,512.573,23.2429,0
1230958,265.739,271.995,4.4617,4.3286,512.462,23.2429,0
1230959,263.851,270.039,4.4948,4.3588,512.734,23.2429,0
1230960,261.89,272.053,4.5333,4.3219,512.759,23.2429,0
1230961,263.816,273.966,4.5017,4.2926,512.659,23.2419,0
1230962,265.707,272.01,4.4591,4.3273,512.686,23.25,0
1230963,263.825,270.018,4.4948,4.3654,512.676,23.25,0
1230964,261.903,269.72,4.5322,4.3716,512.794,23.2515,0
1230965,264.25,272.11,4.4965,4.3311,512.93,23.2574,0
1230966,266.774,272.558,4.4433,4.3204,513.115,23.2574,0
1230967,265.891,269.817,4.4638,4.368,513.453,23.2629,0
1230968,263.873,267.687,4.5079,4.4021,513.591,23.2629,0
1230969,263.554,269.722,4.5129,4.3756,513.494,23.2706,0
1230970,263.24,271.731,4.5188,4.3408,513.504,23.2742,0
1230971,265.137,272.04,4.4879,4.3339,513.698,23.2742,0
1230972,267.02,273.93,4.452,4.2986,513.689,23.2837,0
1230973,265.157,272.036,4.4861,4.3295,513.526,23.2903,0
1230974,267.058,269.99,4.4478,4.3709,513.455,23.2903,0
1230975,268.648,269.634,4.4134,4.3767,513.628,23.2938,0
1230976,266.14,268.363,4.4672,4.3969,513.717,23.2938,0
1230977,263.516,269.164,4.5229,4.3858,513.884,23.298,0
1230978,262.968,271.415,4.5353,4.347,514.071,23.2997,0
1230979,262.652,269.408,4.5459,4.3845,514.39,23.2997,0
1230980,264.564,267.362,4.5069,4.4152,514.417,23.3022,0
1230981,266.456,269.379,4.4758,4.3924,514.409,23.3134,0
1230982,266.745,271.384,4.4664,4.3533,514.261,23.3134,0
1230983,264.883,269.409,4.5074,4.3917,514.455,23.3268,0
1230984,262.965,267.357,4.5376,4.4229,514.287,23.3268,0
1230985,261.197,269.649,4.5729,4.3864,514.244,23.3282,0
1230986,263.801,271.531,4.5262,4.3524,514.588,23.3232,0
1230987,266.443,269.989,4.475,4.3835,514.793,23.3232,0
1230988,267.032,267.599,4.4604,4.4165,514.983,23.3174,0
1230989,267.315,269.658,4.4487,4.3826,515.174,23.3174,0
1230990,267.614,271.667,4.439,4.3498,515.249,23.3179,0
1230991,267.296,271.961,4.4497,4.3435,515.051,23.3198,0
1230992,269.212,272.318,4.4056,4.3373,514.599,23.3198,0
1230993,267.329,272.58,4.4485,4.334,514.648,23.3242,0
1230994,265.44,272.29,4.4876,4.3396,514.803,23.3224,0
1230995,263.447,272.008,4.5341,4.3451,514.959,23.3224,0
1230996,262.376,271.485,4.5541,4.3563,515.097,23.3277,0
1230997,265.058,270.848,4.5034,4.3666,515.131,23.3277,0
1230998,265.717,270.447,4.4929,4.3759,515.011,23.3355,0
1230999,266.007,272.422,4.488,4.3368,515.224,23.3407,0
1231000,267.935,272.734,4.4424,4.3367,515.045,23.3407,0
1231001,265.996,273.049,4.4882,4.3322,514.984,23.3504,0
1231002,264.161,271.115,4.5185,4.3636,515.07,23.3617,0
1231003,262.224,269.095,4.5518,4.4019,515.171,23.3617,0
1231004,264.168,267.016,4.5257,4.4306,515.105,23.3695,0
1231005,266.025,269.026,4.4908,4.4031,515.315,23.3695,0
1231006,264.068,270.421,4.5291,4.3842,515.487,23.3739,0
1231007,263.669,267.734,4.5356,4.4283,515.527,23.3844,0
1231008,261.595,269.133,4.568,4.406,515.533,23.3844,0
1231009,261.277,271.152,4.5769,4.376,515.445,23.3926,0
1231010,263.253,269.108,4.5482,4.4049,515.594,23.4018,0
1231011,263.569,268.787,4.5425,4.4103,515.687,23.4018,0
1231012,265.458,268.431,4.5038,4.4205,515.954,23.4131,0
1231013,265.769,268.114,4.497,4.4203,516.03,23.4131,0
1231014,267.667,267.444,4.4557,4.4335,515.88,23.4205,0
1231015,265.784,269.514,4.4994,4.4022,515.788,23.4299,0
1231016,263.81,272.114,4.5386,4.3586,515.805,23.4299,0
1231017,263.397,272.328,4.5386,4.3519,515.93,23.4399,0
1231018,262.961,269.558,4.5498,4.3989,515.931,23.4399,0
1231019,264.884,271.576,4.5176,4.3711,516.188,23.4416,0
1231020,266.74,271.819,4.4809,4.3705,516.121,23.4588,0
1231021,264.876,273.807,4.5171,4.3315,516.287,23.4588,0
1231022,262.984,271.865,4.5578,4.3689,516.198,23.4763,0
1231023,264.879,269.849,4.5221,4.3993,516.179,23.4934,0
1231024,266.762,269.469,4.4828,4.412,516.328,23.4934,0
1231025,264.883,269.223,4.5253,4.4153,516.501,23.503,0
1231026,263.428,268.517,4.5538,4.4271,516.437,23.503,0
1231027,265.043,267.117,4.5189,4.4441,516.686,23.5095,0
1231028,265.444,268.181,4.5174,4.4354,516.613,23.5262,0
1231029,265.741,270.289,4.5078,4.4055,516.413,23.5262,0
1231030,265.456,270.612,4.518,4.3994,516.605,23.5479,0
1231031,265.166,270.925,4.5196,4.3961,516.765,23.5633,0
1231032,263.283,271.242,4.5571,4.3907,516.828,23.5633,0
1231033,265.191,270.92,4.523,4.3943,516.927,23.5763,0
1231034,267.069,270.556,4.4804,4.3993,517.263,23.5763,0
1231035,265.181,270.284,4.525,4.4126,517.418,23.5946,0
1231036,263.634,269.277,4.5578,4.425,517.513,23.612,0
1231037,266.173,267.449,4.5118,4.4563,517.99,23.612,0
1231038,265.347,267.026,4.5337,4.4656,518.046,23.6214,0
1231039,263.281,266.697,4.5686,4.4722,518.004,23.6272,0
1231040,261.302,266.056,4.6075,4.4774,517.99,23.6272,0
1231041,263.254,268.062,4.5785,4.4512,518.06,23.6426,0
1231042,265.19,268.36,4.5366,4.4428,518.339,23.6426,0
1231043,263.275,270.408,4.5706,4.4134,518.193,23.6528,0
1231044,261.312,270.765,4.5965,4.4058,518.244,23.6643,0
1231045,263.288,271.068,4.5654,4.4032,518.343,23.6643,0
1231046,265.438,272.747,4.5289,4.3667,518.291,23.6771,0
1231047,267.206,270.087,4.4906,4.4236,518.273,23.6771,0
1231048,265.838,268.763,4.52,4.4446,518.214,23.6939,0
1231049,263.567,270.764,4.5652,4.4107,518.244,23.7165,0
1231050,263.271,272.724,4.5712,4.3739,518.433,23.7165,0
1231051,262.975,273.019,4.5755,4.3705,518.469,23.7366,0
1231052,262.684,273.332,4.5835,4.3671,518.4,23.7513,0
1231053,262.07,273.632,4.5902,4.359,518.403,23.7513,0
1231054,261.755,273.339,4.5943,4.3639,518.417,23.7689,0
1231055,261.408,275.229,4.6103,4.3251,518.402,23.7689,0
1231056,260.778,273.317,4.6198,4.3639,518.199,23.7879,0
1231057,261.324,270.562,4.6065,4.4122,518.242,23.8121,0
1231058,263.884,270.842,4.5573,4.4132,518.49,23.8121,0
1231059,262.452,273.334,4.5845,4.3669,518.386,23.8286,0
1231060,262.196,271.393,4.5935,4.4042,518.474,23.8482,0
1231061,261.854,269.357,4.6038,4.4398,518.427,23.8482,0
1231062,261.553,269.02,4.6087,4.4482,519.013,23.8608,0
1231063,260.936,268.723,4.6161,4.4501,519.226,23.8608,0
1231064,260.624,268.097,4.624,4.464,519.48,23.8747,0
1231065,260.322,267.801,4.6326,4.4708,519.646,23.8862,0
1231066,259.666,267.483,4.6425,4.4745,519.698,23.8862,0
1231067,262.39,270.25,4.6054,4.4313,519.611,23.8973,0
1231068,263.838,270.103,4.5742,4.4302,519.644,23.9102,0
1231069,265.837,267.418,4.5356,4.4785,519.511,23.9102,0
1231070,266.101,269.414,4.5334,4.4489,519.503,23.9241,0
1231071,264.231,271.466,4.5639,4.4199,519.793,23.9241,0
1231072,263.946,271.778,4.5706,4.4074,520.01,23.9413,0
1231073,261.997,273.741,4.6134,4.373,520.125,23.9473,0
1231074,263.921,274.016,4.586,4.3631,520.002,23.9473,0
1231075,264.232,274.332,4.5717,4.356,520.24,23.9543,0
1231076,264.5,276.264,4.5682,4.3157,520.189,23.9543,0
1231077,265.42,273.736,4.5488,4.3708,520.524,23.9658,0
1231078,266.905,272.188,4.524,4.4092,520.409,23.9694,0
1231079,268.915,271.805,4.4741,4.4129,520.472,23.9694,0
1231080,267.016,271.143,4.5171,4.4214,520.509,23.9868,0
1231081,265.134,270.852,4.5613,4.4307,520.585,24.0005,0
1231082,263.244,272.844,4.5976,4.3982,520.222,24.0005,0
1231083,262.921,274.734,4.6033,4.3568,520.444,24.0033,0
1231084,262.634,272.859,4.6159,4.3959,520.565,24.0033,0
1231085,264.523,270.892,4.5778,4.4325,520.381,24.0111,0
1231086,266.409,268.814,4.5419,4.4632,520.745,24.0213,0
1231087,266.781,269.033,4.5265,4.4632,521.009,24.0213,0
1231088,266.819,271.698,4.5249,4.4178,521.014,24.0256,0
1231089,266.418,270.542,4.5381,4.4437,521.269,24.0357,0
1231090,266.132,268.486,4.5358,4.4742,520.912,24.0357,0
1231091,265.514,270.488,4.558,4.4447,521.065,24.0426,0
1231092,263.672,272.533,4.596,4.4097,521.177,24.0426,0
1231093,263.356,272.849,4.6061,4.4018,521.393,24.0479,0
1231094,265.228,273.145,4.5724,4.3924,521.347,24.0506,0
1231095,265.524,273.436,4.5589,4.3928,521.65,24.0506,0
1231096,265.81,275.359,4.5466,4.3532,521.538,24.0523,0
1231097,265.465,273.02,4.5622,4.405,521.787,24.0533,0
1231098,265.079,271.329,4.5717,4.4332,521.718,24.0533,0
1231099,263.243,272.862,4.599,4.4047,521.445,24.0548,0
1231100,264.955,273.426,4.5738,4.3925,521.151,24.0548,0
1231101,265.227,273.705,4.5639,4.3879,521.166,24.0583,0
1231102,267.135,273.374,4.5273,4.3933,521.229,24.0575,0
1231103,267.416,273.082,4.5257,4.3983,520.979,24.0575,0
1231104,267.721,272.797,4.5183,4.4087,521.031,24.0596,0
1231105,268.021,270.84,4.5118,4.4457,520.992,24.0596,0
1231106,267.735,270.531,4.521,4.4527,521.247,24.0597,0
1231107,269.782,268.723,4.4827,4.4762,521.247,24.0647,0
1231108,271.619,271.535,4.4466,4.4327,521.487,24.0647,0
1231109,270.219,272.754,4.4779,4.4073,521.722,24.07,0
1231110,268.028,270.812,4.5244,4.4473,521.662,24.0766,0
1231111,266.148,268.794,4.5547,4.4769,521.555,24.0766,0
1231112,265.805,270.819,4.5605,4.4454,521.27,24.0815,0
1231113,265.53,271.151,4.5647,4.4376,521.399,24.0815,0
1231114,265.221,273.125,4.5766,4.4048,521.331,24.0843,0
1231115,264.616,271.177,4.5848,4.4349,521.274,24.0923,0
1231116,264.342,270.882,4.5905,4.4401,521.367,24.0923,0
1231117,266.267,268.801,4.5612,4.4758,521.421,24.0951,0
1231118,267.407,268.361,4.5388,4.4855,521.614,24.097,0
1231119,266.988,267.646,4.5452,4.496,521.754,24.097,0
1231120,264.647,267.224,4.5891,4.4997,521.976,24.1032,0
1231121,266.529,266.83,4.5631,4.5084,521.978,24.1032,0
1231122,268.433,268.926,4.5305,4.4808,521.888,24.0978,0
1231123,266.509,269.227,4.5625,4.4775,521.685,24.0966,0
1231124,264.622,271.293,4.591,4.4403,521.852,24.0966,0
1231125,264.346,269.296,4.5919,4.4763,521.839,24.1082,0
1231126,264.068,269.0,4.5907,4.4739,521.757,24.1194,0
1231127,265.953,266.89,4.5709,4.511,521.705,24.1194,0
1231128,267.961,269.721,4.5378,4.4649,521.547,24.129,0
1231129,268.367,271.181,4.5358,4.4436,521.557,24.129,0
1231130,270.306,271.581,4.5064,4.4384,521.932,24.1386,0
1231131,272.199,273.573,4.4692,4.4029,521.828,24.143,0
1231132,272.48,273.867,4.4644,4.3913,522.088,24.143,0
1231133,272.797,271.959,4.4622,4.4292,522.216,24.1495,0
1231134,274.722,271.676,4.43,4.4344,522.238,24.1495,0
1231135,275.034,271.371,4.4328,4.4442,522.259,24.1548,0
1231136,277.058,273.319,4.412,4.4069,521.985,24.1622,0
1231137,279.155,273.679,4.3968,4.3952,522.064,24.1622,0
1231138,281.905,274.941,4.3818,4.3648,521.942,24.1723,0
1231139,284.663,272.367,4.3648,4.4239,522.242,24.1828,0
1231140,287.421,271.415,4.3096,4.4422,522.349,24.1828,0
1231141,285.358,269.427,4.3519,4.4774,522.618,24.1901,0
1231142,283.274,269.09,4.3944,4.4813,522.879,24.1901,0
1231143,281.194,268.755,4.4123,4.4891,523.269,24.1955,0
1231144,283.258,266.721,4.4008,4.5197,523.488,24.2103,0
1231145,285.336,268.802,4.3703,4.4953,523.7,24.2103,0
1231146,287.388,270.798,4.3181,4.4637,523.673,24.2278,0
1231147,285.352,272.768,4.3722,4.4282,523.946,24.2463,0
1231148,282.785,273.474,4.4194,4.4163,523.972,24.2463,0
1231149,282.512,273.799,4.4252,4.4088,524.208,24.2632,0
1231150,285.263,271.222,4.3791,4.4592,524.156,24.2632,0
1231151,283.301,270.821,4.4201,4.4695,524.391,24.2759,0
1231152,282.948,270.497,4.4342,4.4743,524.444,24.2942,0
1231153,280.851,268.436,4.461,4.5121,524.768,24.2942,0
1231154,280.574,268.147,4.4671,4.5182,524.596,24.3023,0
1231155,280.258,267.837,4.4754,4.5232,524.701,24.3023,0
1231156,279.905,269.835,4.4906,4.4962,525.054,24.3218,0
1231157,279.272,271.806,4.5009,4.4664,525.047,24.3475,0
1231158,278.612,269.45,4.501,4.504,525.008,24.3475,0
1231159,278.091,268.909,4.5093,4.512,525.29,24.3662,0
1231160,280.818,270.129,4.4923,4.499,525.684,24.3824,0
1231161,283.075,272.153,4.4604,4.4628,525.776,24.3824,0
1231162,283.367,274.102,4.4642,4.4249,526.161,24.3924,0
1231163,283.705,272.175,4.4568,4.466,526.18,24.3924,0
1231164,285.759,270.187,4.4004,4.5008,526.097,24.4115,0
1231165,283.739,268.155,4.4503,4.535,526.335,24.4284,0
1231166,281.659,270.151,4.5049,4.5036,526.541,24.4284,0
1231167,279.617,272.136,4.5296,4.4697,526.625,24.45,0
1231168,281.929,270.105,4.4982,4.507,526.581,24.4648,0
1231169,282.661,269.69,4.4822,4.5134,526.599,24.4648,0
1231170,279.957,267.807,4.5363,4.5435,526.932,24.4724,0
1231171,277.533,269.494,4.5649,4.5202,526.76,24.4724,0
1231172,279.608,271.553,4.5544,4.4873,526.722,24.48,0
1231173,281.657,269.519,4.5117,4.5189,526.743,24.4879,0
1231174,279.581,267.476,4.5503,4.5508,526.867,24.4879,0
1231175,279.281,269.515,4.5576,4.5172,527.141,24.5002,0
1231176,277.234,271.491,4.5873,4.4859,527.244,24.5157,0
1231177,279.299,271.82,4.5672,4.4778,527.244,24.5157,0
1231178,281.206,272.002,4.5277,4.4765,527.609,24.5214,0
1231179,278.339,269.988,4.5782,4.5109,527.512,24.5214,0
1231180,278.877,269.569,4.5795,4.5216,527.775,24.5248,0
1231181,281.351,267.504,4.5264,4.55,527.857,24.5353,0
1231182,279.286,269.556,4.5673,4.523,527.9,24.5353,0
1231183,277.218,271.51,4.6023,4.4864,527.974,24.542,0
1231184,279.279,269.537,4.5715,4.5234,527.937,24.542,0
1231185,279.631,267.49,4.5694,4.5511,527.652,24.5519,0
1231186,279.955,267.151,4.5667,4.5564,527.791,24.5664,0
1231187,279.639,266.833,4.5767,4.5718,527.913,24.5664,0
1231188,279.283,268.929,4.5782,4.5358,527.808,24.5798,0
1231189,276.515,270.981,4.6333,4.5024,527.967,24.5915,0
1231190,276.706,271.436,4.6333,4.5005,528.034,24.5915,0
1231191,279.257,271.848,4.5882,4.4901,528.033,24.6076,0
1231192,279.584,271.539,4.584,4.4916,528.182,24.6076,0
1231193,279.921,271.225,4.575,4.4965,528.241,24.6254,0
1231194,277.86,270.893,4.6197,4.5074,528.555,24.6382,0
1231195,275.798,268.823,4.66,4.5452,528.972,24.6382,0
1231196,277.886,266.796,4.6127,4.5738,528.989,24.6591,0
1231197,275.862,268.868,4.6552,4.5396,528.843,24.6825,0
1231198,273.862,270.876,4.69,4.5102,528.717,24.6825,0
1231199,276.442,271.288,4.6467,4.4976,529.011,24.6996,0
1231200,276.409,271.697,4.646,4.4882,529.354,24.6996,0
1231201,273.812,269.773,4.6929,4.5204,529.001,24.7144,0
1231202,273.531,267.742,4.6996,4.5596,528.838,24.7373,0
1231203,273.243,269.771,4.7056,4.526,529.179,24.7373,0
1231204,275.196,267.766,4.6638,4.5577,529.163,24.7523,0
1231205,277.253,265.724,4.6333,4.5837,529.206,24.7743,0
1231206,275.207,267.745,4.669,4.5598,529.384,24.7743,0
1231207,273.258,269.752,4.7111,4.5344,529.39,24.7965,0
1231208,272.967,271.765,4.7116,4.494,529.389,24.7965,0
1231209,274.952,269.288,4.6806,4.5449,529.362,24.8191,0
1231210,276.478,269.088,4.6478,4.551,529.891,24.832,0
1231211,275.209,271.762,4.6716,4.5044,529.786,24.832,0
1231212,273.225,269.778,4.7158,4.5382,529.86,24.8417,0
1231213,271.332,267.706,4.7479,4.5739,530.156,24.8417,0
1231214,273.254,269.782,4.7252,4.5425,530.474,24.8581,0
1231215,271.335,271.741,4.7514,4.5082,530.404,24.8792,0
1231216,269.481,272.052,4.7778,4.5009,530.503,24.8792,0
1231217,271.309,272.346,4.7528,4.492,530.636,24.898,0
1231218,273.246,272.075,4.7209,4.5017,530.726,24.9191,0
1231219,274.793,271.738,4.6914,4.5048,530.523,24.9191,0
1231220,272.104,270.264,4.7423,4.5274,530.66,24.9392,0
1231221,273.089,267.582,4.7232,4.5748,530.816,24.9392,0
1231222,275.15,269.464,4.6876,4.5469,530.767,24.9626,0
1231223,275.489,271.489,4.6883,4.5135,530.606,24.9841,0
1231224,275.82,269.487,4.6772,4.544,530.639,24.9841,0
1231225,277.879,269.168,4.6381,4.5526,530.832,25.0077,0
1231226,275.845,268.831,4.6734,4.5586,531.049,25.0294,0
1231227,273.86,268.496,4.7062,4.5634,531.3,25.0294,0
1231228,271.918,270.509,4.7472,4.5262,531.324,25.0495,0
1231229,273.894,271.178,4.71,4.5154,531.283,25.0495,0
1231230,274.312,273.021,4.7048,4.4793,530.978,25.068,0
1231231,272.752,273.38,4.7315,4.4781,530.946,25.0964,0
1231232,270.601,275.333,4.7775,4.4283,531.172,25.0964,0
1231233,272.544,273.414,4.7392,4.471,531.638,25.1187,0
1231234,274.46,271.482,4.7113,4.5119,531.726,25.1474,0
1231235,276.493,269.501,4.6676,4.554,531.399,25.1474,0
1231236,274.466,269.157,4.7123,4.5585,531.599,25.1651,0
1231237,274.156,267.111,4.712,4.5902,531.456,25.1651,0
1231238,273.843,269.147,4.7127,4.5581,531.271,25.1824,0
1231239,272.103,270.939,4.75,4.5266,531.517,25.206,0
1231240,274.688,268.294,4.6983,4.5678,531.295,25.206,0
1231241,274.188,268.802,4.7114,4.5659,531.274,25.2236,0
1231242,273.54,271.174,4.7224,4.5157,531.376,25.2236,0
1231243,273.242,269.126,4.7275,4.5533,531.512,25.2442,0
1231244,272.956,267.064,4.7376,4.5895,531.347,25.2601,0
1231245,272.359,269.105,4.7498,4.5557,531.268,25.2601,0
1231246,272.058,271.138,4.7513,4.5237,531.459,25.2798,0
1231247,273.986,269.167,4.7211,4.5606,531.47,25.2947,0
1231248,275.937,268.836,4.6825,4.571,531.856,25.2947,0
1231249,277.886,266.903,4.6452,4.5973,532.057,25.3106,0
1231250,275.185,269.616,4.6956,4.5571,532.034,25.3106,0
1231251,275.49,272.405,4.6851,4.5036,532.269,25.3319,0
1231252,273.978,270.868,4.7198,4.5304,532.452,25.346,0
1231253,275.934,268.833,4.6814,4.5672,532.713,25.346,0
1231254,278.017,266.797,4.6434,4.6054,532.89,25.3597,0
1231255,275.954,268.831,4.6867,4.5745,532.802,25.3766,0
1231256,273.976,270.864,4.7228,4.5364,532.803,25.3766,0
1231257,275.959,268.847,4.6885,4.5681,532.847,25.3889,0
1231258,277.997,266.83,4.6452,4.6046,532.719,25.3889,0
1231259,275.952,268.872,4.6885,4.5784,532.615,25.4007,0
1231260,273.343,271.502,4.74,4.5324,532.958,25.4167,0
1231261,271.829,273.016,4.7648,4.5023,533.104,25.4167,0
1231262,271.456,273.402,4.7727,4.4964,533.434,25.4342,0
1231263,271.183,271.437,4.7808,4.5326,533.816,25.4528,0
1231264,273.085,269.431,4.7523,4.5752,533.633,25.4528,0
1231265,275.01,267.424,4.7152,4.6093,533.811,25.4754,0
1231266,273.066,269.437,4.7568,4.5799,533.987,25.4754,0
1231267,271.149,271.433,4.7921,4.5384,533.901,25.4955,0
1231268,273.049,269.449,4.7586,4.5758,533.851,25.5057,0
1231269,274.996,269.181,4.7209,4.5856,534.154,25.5057,0
1231270,275.875,268.769,4.7071,4.5928,534.436,25.5228,0
1231271,275.974,269.885,4.7015,4.5687,534.346,25.5228,0
1231272,273.389,268.501,4.7521,4.5899,534.212,25.5409,0
1231273,273.068,266.42,4.7626,4.6239,534.245,25.557,0
1231274,272.783,268.479,4.7644,4.5903,534.352,25.557,0
1231275,274.695,270.547,4.7311,4.5557,534.184,25.5698,0
